,category1,category2,macro_state_1,macro_state_2,innovation_success,year,feature1,feature2,cat_feature1,cat_feature2,label
0,4,3,4.394480651595405,2.9152938778758717,7,1,12.811202540040055,18.950161352669337,12,17,False
1,5,3,5.369328378833917,0.545319524961303,9,1,2.927999600906954,14.124695998910626,15,22,False
2,3,3,5.5382863626018635,2.6322925945966427,10,1,14.578390179032462,42.36471100781685,9,12,False
3,5,4,3.942938536685123,9.82163447242691,6,1,38.72610105456712,-227.65897287660943,20,21,True
4,5,5,4.557355797754835,3.5003493937606223,9,1,15.952337603822594,16.861723005918176,25,20,False
5,2,3,5.404165267419098,6.964290625795485,8,1,37.63617751213638,-58.71715492903907,6,7,True
6,3,2,3.6929891525130607,2.5893001413878025,9,1,9.56225733474569,10.553758341910717,6,13,False
7,3,3,5.208476226226322,1.4851551290041964,9,1,7.735395181676444,28.801360075286283,9,12,False
8,3,5,4.909437133065282,7.351841823243614,8,1,36.09340524345456,-88.15470225112063,15,10,True
9,5,5,3.5358699406467764,8.328675525612631,8,1,29.449113436414194,-141.14387535033896,25,20,True
10,4,4,5.774089825662903,9.70587668708443,5,1,56.04260382803297,-220.34757341091182,16,16,True
11,3,3,6.814219363814359,3.536016658803133,8,1,24.09519318718646,78.98892748400272,9,12,False
12,5,2,4.733018742966927,4.63967327525046,8,1,21.959660573003173,2.049834787081834,10,23,False
13,2,4,4.492557572063549,6.127034690833128,7,1,27.526056094598413,-44.99070885658901,8,6,True
14,4,4,5.169005281856248,8.107565690337609,6,1,41.9080498763516,-123.14933616330899,16,16,True
15,2,3,5.580153027525419,9.041515423440698,7,1,50.45303966353038,-174.63625425096612,6,7,True
16,4,3,3.866264454206416,8.06770480423171,8,1,31.191880311631394,-131.05082453444768,12,17,True
17,5,4,5.620623169080384,0.8519557954000079,10,1,4.788522482657592,22.834870931184213,20,21,False
18,1,4,5.067692777969849,3.1041643112262642,6,1,15.730951061633089,30.88817021846678,4,1,False
19,4,4,3.331662836462276,5.448394500757635,6,1,18.15221347655965,-38.42336504288274,16,16,True
20,2,1,4.480615372084948,3.5055434623414206,8,1,15.70699192487886,15.315446612517794,2,9,False
21,5,4,4.995524373280263,9.078205104520844,9,1,45.35039486527118,-185.1511832705944,20,21,True
22,4,5,4.585006045890464,5.313004975571481,10,1,24.360159934841356,-17.7341703594229,20,15,True
23,1,2,5.250694790177513,1.5045700494596792,10,1,7.9000381201550605,29.594528254526878,2,3,False
24,1,2,5.010854319733849,6.607243901182194,7,1,33.107936643773925,-52.85316512137258,2,3,True
25,3,3,4.324100663136839,4.078106255965737,9,1,17.634141965763934,4.337900298839162,9,12,False
26,3,4,6.507406791751788,8.268412159571078,9,1,53.8059214441959,-94.752516483692,12,11,True
27,2,2,3.4058344504215516,8.561952269861802,9,1,29.16059200356033,-150.3554480549843,4,8,True
28,4,2,4.2938938325835645,7.928677691314104,8,1,34.04490023927653,-123.74585386181381,8,18,True
29,4,5,5.948681149057548,0.41019572952866623,5,1,2.4401236036710854,13.51458900078058,20,15,True
30,3,5,5.612995944398481,1.670593806663262,9,1,9.377036261538109,36.96804780310851,15,10,False
31,4,1,4.961097536668635,7.533747546989261,8,1,37.375656397251795,-96.15448281612998,4,19,True
32,4,1,6.5323594015962385,4.84912340191185,9,1,31.67621684397921,53.31854852559481,4,19,False
33,1,2,4.197555814315971,7.607476910290222,9,1,31.932808937063218,-108.88835884820698,2,3,True
34,3,3,5.767885311451801,4.335810267553622,8,1,25.008456355464443,35.81398623307743,9,12,False
35,5,2,3.57511020804119,2.8028361810490035,9,1,10.020448242335478,7.738531916375198,10,23,False
36,3,3,4.834373260587094,1.531458318802571,8,1,7.403641146122815,24.45359696513974,9,12,False
37,5,2,5.366046766945019,6.080742016062734,9,1,32.62954603592017,-23.32018153273991,10,23,False
38,1,5,5.546228054406166,5.507454627592191,8,1,30.54559936392087,1.184357561425994,5,0,False
39,2,4,4.479722795728208,2.6182325672775972,7,1,11.728956116151442,21.83333720014194,8,6,False
40,4,2,3.808869109380428,2.6167714558682253,9,1,9.966939964564933,11.881565744454852,8,18,False
41,1,1,6.805109251145607,6.420579854007639,7,1,43.6927473622265,16.801145802498514,1,4,False
42,4,3,4.97925080185345,0.9887286940137541,8,1,4.923128142483499,19.645851692308177,12,17,False
43,2,3,3.9968198131347963,9.448085980718625,7,1,37.762297243937304,-205.8523333761195,6,7,True
44,2,2,4.472644431207434,6.06419125053846,5,1,27.12297122649769,-43.16747858633934,4,8,True
45,1,3,5.921296994388531,5.547076620752836,9,1,32.845888122106665,12.291600525450994,3,2,False
46,2,1,6.206295227313049,1.0743401930030128,6,1,6.667672412345178,34.21819500366498,2,9,False
47,5,5,4.393393331269072,0.7722493973094535,8,1,3.3927953522159133,12.285800308843044,25,20,True
48,2,4,6.989063978654821,2.903913333161854,8,1,20.29563607393697,82.91073080813396,8,6,False
49,4,4,4.480579944495717,8.561498418511754,8,1,38.36047810881556,-156.5459837863532,16,16,True
50,4,3,4.405677239276336,7.93545063625351,8,1,34.96103425154301,-123.40452863190428,12,17,True
51,4,2,4.256973059629347,5.655765509104883,6,1,24.07644140384035,-33.677944445932056,8,18,True
52,4,3,4.162964466954115,7.2902135051844095,9,1,30.348899778591704,-94.9085676439485,12,17,True
53,5,1,5.291161077371586,9.925451599970112,9,1,52.51716318109739,-243.37979160391984,5,24,True
54,3,2,4.4684835909964855,1.8755999623209896,7,1,8.381087654904968,21.7311849708974,6,13,False
55,1,5,4.053648142501499,7.4500840059280735,7,1,30.200019192110464,-102.57242826025481,5,0,True
56,4,1,4.554455756996374,6.335163784127817,8,1,28.853223168135873,-51.37916610411449,4,19,True
57,2,5,5.921985480963173,9.713115717685062,8,1,57.520930255046125,-218.0693379342763,10,5,True
58,4,2,3.006730473948333,0.2388036175892394,9,1,0.7180181142946703,1.9874216219085314,8,18,False
59,2,5,5.600338749740669,1.5751503504933084,7,1,8.821375544535272,35.50769850726774,10,5,False
60,2,1,4.0523362005418,1.2746805801035288,8,1,5.165434258881152,14.347797501185632,2,9,False
61,4,1,6.395285775818529,1.7120422388819379,8,1,10.948999377922165,51.27683057257674,4,19,False
62,5,3,6.784033366568304,7.153819943458572,8,1,48.531753194844725,-17.946390884404977,15,22,False
63,2,2,4.725491954617129,1.8739628135126385,9,1,8.855396198505654,25.2514203160648,4,8,False
64,2,4,6.718451785433592,6.310224452063383,8,1,42.39493873645195,17.306772788775152,8,6,False
65,4,4,4.241672883709188,5.234623885338668,7,1,22.20356219085746,-22.04704931715437,16,16,True
66,2,5,3.706780953946042,4.315030562711555,8,1,15.994873105554262,-9.728875308707405,10,5,True
67,2,4,3.3323135149870717,4.500635511584957,7,1,14.997528541285304,-17.52194248938821,8,6,True
68,4,4,3.468139455269645,4.188950039863669,9,1,14.527862909404542,-10.471837356629726,16,16,True
69,4,1,5.0270108758058605,9.858742123774226,8,1,49.5600038779784,-239.46061938666162,4,19,True
70,1,1,3.841427267275802,9.881713747887211,8,1,37.95988463854809,-229.28857798779075,1,4,True
71,5,1,7.510571775635649,3.1602333749702147,6,1,23.735159590473085,103.25597621235752,5,24,False
72,5,4,4.4842663766418465,2.2329127104467164,8,1,10.012975389432421,22.542748852520294,20,21,False
73,2,5,4.237660761224632,1.9811913260585046,7,1,8.39561674291672,18.94445256976057,10,5,False
74,5,2,4.446721789001717,5.111632076972428,10,1,22.730005734033398,-15.113414658192042,10,23,False
75,2,3,5.44218483357519,8.005306690779111,10,1,43.56635866067607,-111.66588612196418,6,7,True
76,1,5,5.545462906118166,4.949632139141085,8,1,27.448001426537193,16.354363741961677,5,0,False
77,4,1,5.998233973342458,9.857237634720143,8,1,59.12601766388821,-228.16751864762625,4,19,True
78,4,5,5.279584043347529,9.397555078363968,8,1,49.61518183820994,-204.31388170682223,20,15,True
79,4,2,6.345612273223741,7.796124789717645,8,1,49.47118514921615,-71.75857326472534,8,18,True
80,5,1,5.044818290240005,8.311049104364624,6,1,41.92773253278147,-136.9456519649461,5,24,True
81,1,2,5.233475202723662,7.816621371271101,5,1,40.90809411562714,-105.67158657736024,2,3,True
