,category1,category2,macro_state_1,macro_state_2,innovation_success,outcome
0,3,1,4448.21541066197,6.504994525157098,9,58.57658670530779
1,5,1,5414.65575424588,1.3034317507443083,6,-153.41962093513933
2,3,3,6071.162569637687,9.277531230159992,5,126.80870615773973
3,2,5,6279.643882358192,2.1169311638596175,9,16.138581514203885
4,4,4,3633.2865806893037,5.628721794659852,8,199.7384991644772
5,3,3,3280.6013752067906,4.7154444066264585,9,-19.408330952067537
6,4,4,5736.251467845347,1.4402155410318473,9,186.9761228576611
7,2,4,4095.1664973222278,0.2984175237062969,7,184.86284690376624
8,2,2,4554.191235962948,4.216412534399399,6,93.99531764972647
9,1,5,6568.8666154740695,3.0212525961671832,8,-18.54445446611855
10,2,1,4548.786577703847,0.4311077157898058,7,-44.371011945321825
11,2,5,4105.470117299394,3.846905346450722,7,15.935753945281409
12,1,4,4629.659573601869,7.437169225216531,6,335.14991949688937
13,1,4,3182.1114565088815,3.3983837191262447,7,163.5031909030424
14,2,4,5446.007955329272,4.530097164259789,9,267.3550458125696
15,4,2,4829.305723282404,8.54285571920417,8,105.6140349160282
16,5,3,5226.787254211817,5.973368615506222,6,-36.340008918207204
17,1,5,6177.7162038146325,3.1033844710750955,6,27.458577291468284
18,1,5,3430.3339675905163,6.237273378031221,9,148.47202382551666
19,5,3,4974.183239739338,5.4692151247077305,7,-53.8726510559568
20,2,2,5257.999595681502,2.9450152917630277,8,80.27121496271715
21,4,3,3920.5145626795393,7.635604261509683,6,-5.366696189665333
22,3,5,6930.097013836613,5.1390188439011215,10,2.840924277017422
23,5,3,3809.9878143830606,2.7145814538968205,8,-164.63525690266732
24,3,3,5324.944332635261,4.362556694868587,10,-62.65637607928347
25,5,1,6512.071910794186,1.8061115009211803,8,-80.24855767526815
26,1,5,4349.546418387253,6.733495001415263,7,118.87062432214712
27,1,5,5469.465639847971,9.214607639306664,8,175.8258162936796
28,2,5,4940.592282205617,0.7513855521163026,9,-87.17010149330392
29,4,3,4129.204682598142,8.572388941694683,8,19.980867567065957
30,5,3,6213.594491378676,1.3444280375794382,8,-177.95167109948207
31,5,4,4183.562387645118,4.470140922223673,8,194.6074330686135
32,5,4,3614.9867576536403,6.575527727249474,8,159.68670436525935
33,2,2,3278.4645027255588,7.972705379612889,9,278.13828290515056
34,4,4,3931.586869453935,2.047221784614769,8,114.14371361613006
35,3,1,5258.652396431233,2.666304591404848,8,-57.2029898863921
36,2,2,3800.7615378991536,2.4062811129577732,9,138.82368215478158
37,5,2,6249.385547523749,0.6735469286160289,9,-15.956482598331252
38,1,5,4291.858231279813,9.957953060506798,9,218.4496340821465
39,4,1,6039.817474992089,3.617901156062998,7,15.840535813986456
40,3,1,5662.528719213008,8.378524089687843,7,110.82292017705217
41,1,1,4766.706915316804,9.00341800618082,9,218.09177739482607
42,4,4,6004.030360920248,8.526205730170119,7,261.2688087897468
43,3,2,4444.21916251166,8.661206310497212,8,233.61866643797012
44,3,2,6367.428175005337,1.3028568653441497,8,117.14775308087194
45,3,1,5534.355705237041,7.086098608673588,9,-42.02654417331925
46,3,4,6662.713048206584,0.18667258148399424,9,150.92908797878596
47,5,5,5915.427434660712,9.421604270722103,8,159.12477753947638
48,4,5,4225.410125937131,9.8114395010676,9,63.15407928717828
49,4,4,6248.51776320638,6.297619616340909,8,276.7401305143718
50,5,3,6607.611655129318,7.464320192490639,8,13.52831278702954
51,5,1,5000.26828318929,1.4001272980935864,10,-111.66198248698926
52,4,3,3683.9788612472403,4.1884909545793025,6,-53.00736185243212
53,3,1,4765.6798608559875,0.9712029589566185,9,-56.22658113332185
54,1,4,3684.8897506030944,9.401119004923991,4,441.9102338752319
55,5,3,5523.957004116873,8.366643888997537,8,-6.414431534211452
56,4,1,6729.695362444778,9.141754443944558,8,169.94437932543048
57,2,1,4139.800543160554,2.1186396437149355,9,-75.5470167836697
58,4,2,4738.931089397054,4.841259374864939,6,124.46439990562891
59,3,2,6183.053397870099,6.112274884171862,8,132.73822478178397
60,2,3,5322.188959909473,2.789812982330433,7,-41.22968349097373
61,3,2,3359.956830611796,6.265473116984417,6,150.99370424867774
62,5,5,5149.888195610249,6.127405738597097,7,-7.213182642854306
63,1,2,3545.993996244203,8.306883273722725,8,305.6492401673106
